exp_id	date_or_order	dataset	feature_type	config	command	seed	split	changed_factor	lr	weight_decay	batch_size	optimizer	scheduler	loss	sampling	epochs	early_stopping	val_metric	test_metric	keep_or_discard	reason
BRACS_BASE_R50_ALL	2026-07-04	BRACS	R50	artifacts/bracs_baselines/*/yaml	experiments/run_benchmark.py --split BRACS_r50_split_official_train_val.csv --models 12_baselines --seeds 2024 2025 2026	2024,2025,2026	official train/val/test	baseline matrix	0.0002 for MIR default; model-specific	model-specific	1 slide	AdamW for MIR; model-specific	cosine for MIR; model-specific	CE	balanced sampler; max_instances=4096	30	patience=8; metric=macro_auc	val macro AUC selection	best R50 test macro AUC ACMIL 0.7178±0.0147; MIR 0.7087±0.0073	keep	Baseline reference; complete 3 seeds and official test.
BRACS_BASE_UNI_ALL	2026-07-04	BRACS	UNI	artifacts/bracs_baselines/*/yaml	experiments/run_benchmark.py --split BRACS_uni_split_official_train_val.csv --models 12_baselines --seeds 2024 2025 2026	2024,2025,2026	official train/val/test	baseline matrix	0.0002 for MIR default; model-specific	model-specific	1 slide	AdamW for MIR; model-specific	cosine for MIR; model-specific	CE	balanced sampler; max_instances=4096	30	patience=8; metric=macro_auc	val macro AUC selection	best UNI test macro AUC CLAM-SB 0.8039±0.0060; MIR 0.7694±0.0356	keep	Baseline reference; complete 3 seeds and official test.
PANDA_BASE_R50_UNI	2026-07-02/03	PANDA	R50,UNI	artifacts/panda_baselines/*/yaml	experiments/run_benchmark.py / evaluate_panda_task.py --split PANDA_*_full_qc.csv --seeds 2024 2025 2026	2024,2025,2026	fixed QC split	baseline matrix	0.0002 for MIR default; model-specific	model-specific	1 slide	AdamW for MIR; model-specific	cosine for MIR; model-specific	CE	balanced sampler; max_instances=4096	30	patience=8; metric=macro_auc	val macro AUC selection	MIR R50 0.8992±0.0007; MIR UNI 0.9504±0.0011	keep	Comparable PANDA reference; MIR is best on both features.
BRACS_MIR_LR_REG_STAGE1	2026-07-09	BRACS	UNI	MIR_MIL.yaml	experiments/run_bracs_mir_hpo.py --variants lr1e4_mild lr2e4_smooth lr*_ema lr*_unbalanced	2024	official train/val	LR, WD, dropout, patch_dropout, feature_noise, label_smoothing, EMA, sampler	5e-5 to 2e-4	1e-4 to 5e-4	1 slide	AdamW	cosine	CE + optional label_smoothing	balanced or unbalanced	40	patience=10	val macro AUC best 0.8029	test not run	discard	No validation improvement over default/capacity; EMA harmful.
BRACS_MIR_ORDINAL	2026-07-09	BRACS	UNI	MIR_MIL.yaml	experiments/run_bracs_mir_hpo.py --variants ordinal_*	2024,2025,2026 partial	official train/val	ordinal loss weight and sampler	0.0002	1e-5	1 slide	AdamW	cosine	CE + ordinal_weight 0.02-0.5	balanced/unbalanced	40	patience=10	val macro AUC seed2024 up to 0.8314; cross-seed mean about 0.807	test 0.7850 mean for ordinal_010_unbalanced	discard	Validation not robust; test below UNI CLAM-SB and below SOTA.
BRACS_MIR_MOMENT2	2026-07-09	BRACS	UNI	MIR_MIL.yaml	experiments/run_bracs_mir_hpo.py --variants moment_order2 and revalidation	2024,2025,2026	official train/val	moment_order=2 with mild regularization	0.0001	0.0001	1 slide	AdamW	cosine	CE	balanced	40	patience=10	val 0.8260/0.7917/0.7931	test 0.7673/0.7726/0.7249	discard	Seed2024 validation improved but cross-seed and test performance degraded.
BRACS_MIR_DIVERSITY_PROTOTYPE	2026-07-09	BRACS	UNI	MIR_MIL.yaml	experiments/run_bracs_mir_hpo.py --variants global_mlp adaptive_prototype m2_class_conditional	2024,2025,2026 partial	official train/val	potential_type/prototype/multiscale route variants	0.0001	0.0001	1 slide	AdamW	cosine	CE	balanced	40	patience=10	val mostly 0.77-0.80; seed2026 adaptive 0.803	test available for some variants, below baselines	discard	Architecture-adjacent potential variants did not beat baseline; also outside current architecture-frozen scope.
BRACS_MIR_UNI_CAPACITY	2026-07-09	BRACS	UNI	MIR_MIL.yaml	experiments/run_bracs_mir_hpo.py --variants capacity_h384_s128 capacity_h512_* routes* potential256	2024 then 2025/2026 for best	official train/val	hidden_dim, sketch_dim, potential_hidden_dim, routes	0.0002	1e-5	1 slide	AdamW	cosine	CE	balanced	40	patience=10	val best capacity_h384_s128: 0.8470/0.8267/0.8503	test 0.7994/0.7715/0.7877 mean 0.7862	discard for SOTA; keep as reference	Strong validation but official test below UNI CLAM-SB 0.8039; demonstrates validation-test mismatch.
BRACS_MIR_R50_CAPACITY	2026-07-09	BRACS	R50	MIR_MIL.yaml	experiments/run_bracs_mir_hpo.py --feature r50 --variants capacity_*	2024 then 2025/2026 for best	official train/val	hidden_dim, sketch_dim, potential_hidden_dim, routes	0.0002	1e-5	1 slide	AdamW	cosine	CE	balanced	40	patience=10	val best capacity_potential256: 0.8040/0.7745/0.7543	test 0.7210/0.7082/0.7118 mean 0.7137	discard for SOTA; keep as reference	Slightly improves MIR R50 but does not beat R50 ACMIL 0.7178 mean.
BRACS_MIR_BUDGET_VAL	2026-07-09	BRACS	UNI	MIR_MIL.yaml	experiments/evaluate_budget.py on validation/test predictions	2024,2025,2026	official val	instance budget at inference 8192/16384/32768	unchanged	unchanged	1 slide	unchanged	unchanged	unchanged	uniform budget eval	N/A	N/A	budget aggregate	Budget changes did not establish robust official test gain	discard/inconclusive	Larger budget tests are affected by validation/test selection ambiguity; not a clean training improvement.
